heart_rate,systolic_bp,diastolic_bp,map,cardiac_output,stroke_volume,edv,esv,lv_pressure,aortic_pressure,blood_volume,contractility,svr
86.74732299178937,107.64765195272746,63.61797646955766,80.11970057596774,4.545960106312884,52.404615491629166,121.12618903469856,67.7722888004987,103.8935615577394,79.38790252810945,85.63445420742289,76.19278096470373,75.2392954031267
85.26435615650476,111.72080850422594,75.30447766383328,88.40349759876297,4.185089988239328,49.08369894399361,118.92956474617887,66.79496474912933,108.22124986492936,88.67993126117197,83.51159790883973,75.346139064129,100.76685564872663
79.33832666753813,118.51477202601622,76.49718450498202,92.25388649840477,5.284540929448846,66.60766808951436,139.48432130152085,71.89776761103545,113.92061317023247,91.7007499255185,119.03434787194274,93.81835337431141,105.80448295654787
84.00279827714756,131.91869416271288,87.32403566267466,101.35309147620173,5.2748829843725495,62.79413415454695,129.19270336131132,61.73116635359412,129.73444900910047,101.04180459494562,101.18130822976863,108.87104380515522,125.9798555415209
83.02903755369742,116.0230161232633,77.41684425101194,91.20408421810505,4.697415608662244,56.57557581134529,118.0304500837893,58.63873749534709,112.7315633667454,90.95093055922509,91.74136392032021,101.27589972343678,106.9656258287954
79.58419387234399,118.98464854454959,75.45717995240065,88.36423505143811,5.238595003079414,65.82456576091373,124.85102073173175,59.09842860400291,117.11710612342094,86.62720806848267,95.16264456389158,110.65936583413888,90.50594656519746
82.67802861915895,128.8992791709205,86.55520059527572,99.1417660541064,5.98641364463797,72.40634234535608,141.8462171379393,66.64381869778892,127.27216819130214,99.1002731024782,122.25416162642806,112.06740639976125,115.71637074823568
84.93008497186966,119.98802205470489,81.89384265429774,93.71128101816585,4.673611489844031,55.02892751599169,131.79660807209697,74.23552806823822,114.92061510546826,93.53530156634633,109.57864006291267,74.69669620745019,114.4746215193939
74.4401995306478,118.76765853655392,71.85204194216153,88.1644593245666,5.365423094242974,72.07695745138315,131.90057614386308,61.489801877718996,116.4755256736281,89.10283825416793,111.53651721087436,113.52681337600077,83.44096913700015
78.97972412123505,117.76299983316774,68.4310832431189,85.834786369619,5.64344279907429,71.45432402893078,133.6422961801618,62.84098931797733,115.47599951326703,85.37499544364567,108.15598436292032,111.9128715559869,76.14373579585208
81.22530218135273,123.8499110150453,76.36606392654849,91.30788031367477,5.072646160917529,62.4515517294324,114.99276628219741,51.52491547053431,123.7554630299134,92.20720616819733,74.35927013680896,120.77162890719629,97.73073541661114
85.25511644164044,120.64035676750044,79.9195557695629,94.53591398124782,5.00651823611129,58.7239622098035,117.35669557738441,57.62712387151535,117.34995416525585,94.87463496183068,81.55163440607694,103.58300448731937,119.66053479577266
81.17025562580417,123.43218419871258,79.54743997895761,91.75007423391793,6.097777717495183,75.12330311741299,136.96298166865304,59.07898772510043,123.29125028300165,92.45227867309521,118.29371880898856,127.45998369682997,106.28254299268661
84.46187831390637,131.5910985265524,86.94438727595121,100.65211438752733,5.637292878894354,66.74363619931707,130.24527871352404,60.98674241780129,128.1178007158739,101.33619727817798,107.59626437472741,112.70187136090418,127.05334990133406
